topic_id,phi_sum,theta_sum,h,top_terms_rel,top_terms,label
0,291.80475789931705,136.56676252226566,8.25,indian sense truth human degree nature character prove,such man if though yet may than himself,0: indian sense truth human degree nature character prove
1,81.9171439719098,264.71204614781095,6.63,you yourself doctor need friend cant pray suppose,you your do will if me say am,1: you yourself doctor need friend cant pray suppose
2,60.037308654856595,227.1409910506799,6.3,my jacket myself pair visit warm silence going,my me myself how through jacket after hand,2: my jacket myself pair visit warm silence going
3,75.62643500652821,245.36443637533782,6.77,ourselves we our us quickly covered lead opening,we our us ourselves long could here after,3: ourselves we our us quickly covered lead opening
4,132.2702937050659,101.86039750943759,7.8,pierre mother city love youth entirely wonderful possibly,pierre very any mother most still own only,4: pierre mother city love youth entirely wonderful possibly
5,124.86220505399679,92.24559929270723,7.78,whales whale sperm fish chapter seas coast known,whale whales sperm fish great has these sea,5: whales whale sperm fish chapter seas coast known
6,142.30397588950683,105.22451631748648,7.73,babbalanja media mardi lord ay king gods beard,babbalanja lord media said your mardi you we,6: babbalanja media mardi lord ay king gods beard
7,117.66296550917663,95.58366370865299,7.15,thee thou thy art brother sweet nay oh,thou thee thy me will oh if ye,7: thee thou thy art brother sweet nay oh
8,62.28827796358493,173.71661798974608,6.59,she her herself lady girl women woman gazed,her she lady mother could herself woman though,8: she her herself lady girl women woman gazed
9,91.02917314637742,160.8055734908975,7.59,old plain interest stone bright money wife talk,old its plain man talk about much book,9: old plain interest stone bright money wife talk
10,106.32704422122359,77.58302251077271,7.48,father your lady sit little thinking kept getting,your little father very said never about my,10: father your lady sit little thinking kept getting
11,151.70361252814493,79.16064029647924,7.92,captain cabin mate whaling speaking ye command craft,captain ye ship said well do cabin mate,11: captain cabin mate whaling speaking ye command craft
12,129.85594866777566,64.84798262445575,7.67,sir boys boy hint st yes pray oh,sir you boy boys man me oh say,12: sir boys boy hint st yes pray oh
13,171.33294203503777,107.39257832732817,7.7,door turning table said sleep says coat bed,said man here see good about something will,13: door turning table said sleep says coat bed
14,192.04057646772722,142.49729595611535,8.26,wars frigate navy war gun officers fore seamen,man men war deck our officers these ship,14: wars frigate navy war gun officers fore seamen
15,204.056021670312,179.74791791190208,8.69,fruit islands trees islanders valley attention groves bread,these its little valley most about other among,15: fruit islands trees islanders valley attention groves bread
16,88.46426402862491,174.9125126667452,6.78,me house myself woman threw felt mysterious stranger,me my house myself did thought still again,16: me house myself woman threw felt mysterious stranger
17,254.05199017447083,107.72035802215963,8.59,beach arrived party escape afterwards bay started proceeded,two after himself down if before again still,17: beach arrived party escape afterwards bay started proceeded
18,176.7871314459872,180.3189192759623,8.35,waves boats aloft white cry instant mast aye,its white sea boat ye down still seemed,18: waves boats aloft white cry instant mast aye
19,179.46753517859918,190.6420928138804,8.53,used sailors dinner rigging deal got chest glass,very about little sea could thought sailors good,19: used sailors dinner rigging deal got chest glass
